Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,Z-axis rotation (rz) error ,√x (sx) error ,Pauli-X error ,ECR error ,Gate time (ns),Operational
0,249.0240608,57.43680406,4.721908317,-0.31197866,0.0234,0.0254,0.0214,1300,0.000176076,0,0.000176076,0.000176076,,,TRUE
1,251.3345427,224.9798798,4.8151359,-0.309744032,0.0467,0.0494,0.044,1300,0.000167368,0,0.000167368,0.000167368,1_0:0.004718435120799891,1_0:660,TRUE
2,304.3239305,262.5016583,4.609655107,-0.309087518,0.0082,0.01,0.0064,1300,0.00015369,0,0.00015369,0.00015369,2_1:0.004917290605660152,2_1:660,TRUE
3,50.98946847,157.7997507,4.875545986,-0.309686522,0.029,0.0222,0.0358,1300,0.000361566,0,0.000361566,0.000361566,3_2:0.010697840403616071,3_2:660,TRUE
4,276.4429755,149.4288746,4.818175809,-0.310371308,0.04,0.0456,0.0344,1300,0.000274686,0,0.000274686,0.000274686,4_15:0.00603726972402327;4_3:0.012109917416741861;4_5:0.0061356334192822215,4_15:660;4_3:660;4_5:660,TRUE
5,85.05069382,233.4842372,4.734144789,-0.311451824,0.0067,0.0074,0.006,1300,0.000260393,0,0.000260393,0.000260393,,,TRUE
6,253.6354077,59.31702777,4.876275766,-0.30918835,0.0285,0.0464,0.0106,1300,0.003543328,0,0.003543328,0.003543328,6_5:0.008568038970950431;6_7:0.019827605788792946,6_5:660;6_7:660,TRUE
7,337.6550942,83.60703731,4.967524823,-0.307457393,0.0144,0.0122,0.0166,1300,0.000290653,0,0.000290653,0.000290653,7_8:0.005757341240732322,7_8:660,TRUE
8,235.2877265,55.05332583,4.902345248,-0.308378277,0.0193,0.015,0.0236,1300,0.000267363,0,0.000267363,0.000267363,8_9:0.00876770098880117,8_9:660,TRUE
9,284.2196358,97.54511801,4.987235069,-0.308031059,0.008,0.0068,0.0092,1300,0.000216031,0,0.000216031,0.000216031,,,TRUE
10,286.395176,277.0050022,4.831534448,-0.309743442,0.0145,0.017,0.012,1300,0.000118139,0,0.000118139,0.000118139,10_9:0.007490778599606646;10_11:0.007251739362205023,10_9:660;10_11:660,TRUE
11,315.3962048,361.6603073,4.97230569,-0.307214317,0.14,0.1442,0.1358,1300,0.000129571,0,0.000129571,0.000129571,11_12:0.005134551911320229,11_12:660,TRUE
12,320.5367721,107.5349553,4.936319107,-0.307960827,0.0156,0.0146,0.0166,1300,0.000208043,0,0.000208043,0.000208043,12_17:0.004789957554196561,12_17:660,TRUE
13,322.0016597,81.7806459,5.005809502,-0.30676504,0.0146,0.008,0.0212,1300,0.000238254,0,0.000238254,0.000238254,13_12:0.006379298622357671,13_12:660,TRUE
14,78.22574374,54.06083939,4.903344761,-0.308419961,0.0146,0.0172,0.012,1300,0.001351092,0,0.001351092,0.001351092,14_0:0.047903391078055385;14_18:0.05122160420896546,14_0:660;14_18:660,TRUE
15,292.8186093,40.43247256,4.947914954,-0.308052428,0.0188,0.0178,0.0198,1300,0.000185665,0,0.000185665,0.000185665,15_22:0.005314159234899224,15_22:660,TRUE
16,259.7973537,15.44116195,4.960328102,-0.307659451,0.022,0.0162,0.0278,1300,0.000450025,0,0.000450025,0.000450025,16_8:0.007664600332498578;16_26:0.007715953590658076,16_8:660;16_26:660,TRUE
17,333.6828744,246.0501576,4.82082346,-0.309704359,0.0135,0.0126,0.0144,1300,0.00010124,0,0.00010124,0.00010124,17_30:0.005097107396338257,17_30:660,TRUE
18,186.6499748,102.1138657,4.788139279,-0.31063599,0.0922,0.0968,0.0876,1300,0.000440842,0,0.000440842,0.000440842,18_19:0.005163980225996456,18_19:660,TRUE
19,424.5597243,111.2206631,4.746992432,-0.310723953,0.0871,0.0848,0.0894,1300,0.000163498,0,0.000163498,0.000163498,,,TRUE
20,333.467352,253.8528978,4.862313787,-0.309097891,0.0149,0.012,0.0178,1300,0.000192416,0,0.000192416,0.000192416,20_33:0.010029935079089058;20_19:0.0035608890627598644,20_33:660;20_19:660,TRUE
21,306.106364,128.0927439,4.966495033,-0.306948395,0.0058,0.006,0.0056,1300,0.000174629,0,0.000174629,0.000174629,21_20:0.007656753902379826;21_22:0.00621090020042081,21_20:660;21_22:660,TRUE
22,324.5578794,182.197932,5.038197876,-0.306553544,0.0125,0.0146,0.0104,1300,0.000134653,0,0.000134653,0.000134653,22_23:0.005246147946059154,22_23:660,TRUE
23,290.2356808,56.51149446,4.844974505,-0.309395699,0.0276,0.0236,0.0316,1300,0.000154096,0,0.000154096,0.000154096,,,TRUE
