"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","70.5162641340557","40.48766474401154","4.721908316964448","-0.31197865973435573","0.02310000000000001","0.025","0.021199999999999997","1300","0.0005479539094085581","0","0.0005479539094085581","0.0005479539094085581","","","true"
"1","126.10072815219792","101.89459881676137","4.81513590032656","-0.3097440319777085","0.04049999999999998","0.0436","0.03739999999999999","1300","0.0007965528043380468","0","0.0007965528043380468","0.0007965528043380468","1_0:0.009074945553509545","1_0:660","true"
"2","208.28778375677985","234.2544663148227","4.609655107492074","-0.3090875180776862","0.009200000000000097","0.010600000000000054","0.0078","1300","0.000251335029588558","0","0.000251335029588558","0.000251335029588558","2_1:0.010180655496510926","2_1:660","true"
"3","269.0018325849629","303.573102429807","4.875545985705616","-0.30968652168552707","0.031100000000000017","0.01419999999999999","0.048","1300","0.00025948096629780536","0","0.00025948096629780536","0.00025948096629780536","3_2:0.007119905839087948","3_2:660","true"
"4","237.57655471845038","137.27908400902692","4.818175808974537","-0.3103713081153928","0.0383","0.04139999999999999","0.0352","1300","0.00020638248471134822","0","0.00020638248471134822","0.00020638248471134822","4_15:0.006040009249505068;4_3:0.009556941103100264;4_5:0.006119555216765493","4_15:660;4_3:660;4_5:660","true"
"5","204.04192917923575","187.4374637285192","4.7341447892979165","-0.3114518235315779","0.008299999999999974","0.009399999999999964","0.0072","1300","0.00034662706170330264","0","0.00034662706170330264","0.00034662706170330264","","","true"
"6","178.6179484206718","54.71042974522691","4.876275766278119","-0.30918835047116894","0.010199999999999987","0.0082","0.012199999999999989","1300","0.000340225740982443","0","0.000340225740982443","0.000340225740982443","6_5:0.007299423093167889;6_7:0.00666320245486085","6_5:660;6_7:660","true"
"7","358.94410170148615","98.30261345354693","4.967524822898377","-0.30745739300983294","0.015599999999999947","0.014599999999999946","0.0166","1300","0.0002397421946324604","0","0.0002397421946324604","0.0002397421946324604","7_8:0.008125138888738531","7_8:660","true"
"8","264.8416635453543","61.10282328232306","4.902345248208107","-0.30837827664687645","0.015700000000000047","0.015","0.01639999999999997","1300","0.0003712678090463419","0","0.0003712678090463419","0.0003712678090463419","8_9:0.013087771669743009","8_9:660","true"
"9","298.66617992430605","150.96202590016574","4.987235069122292","-0.3080310587566364","0.007400000000000073","0.006199999999999983","0.0086","1300","0.0002102075054161095","0","0.0002102075054161095","0.0002102075054161095","","","true"
